condition_name,condition_type,seed,steps,n_agents,n_arms,threshold,halt_duration,halted_reward,transparent,total_reward,avg_global_reward,reward_volatility,total_collisions,avg_collisions_per_step,total_halted_choices,total_triggers,gini_total_rewards,agent_0_reward,agent_0_name,agent_1_reward,agent_1_name,agent_2_reward,agent_2_name,agent_3_reward,agent_3_name,agent_4_reward,agent_4_name
cb_opaque_threshold3_halt1,circuit_breaker,1,10000,5,5,3,1,0.0,False,64546.07819668572,6.4546078196685714,2.6759310965511443,8835,0.8835,0,318,0.13479119475323675,8682.445847739442,RandomAgent,16914.706365173075,EpsilonGreedyAgent,15693.392642578025,UCB_BaselineAgent,12848.227155667655,RiskAverseEpsilonGreedyAgent,10407.306185527523,RiskAverseUCBAgent
cb_opaque_threshold3_halt1,circuit_breaker,2,10000,5,5,3,1,0.0,False,64875.56763920343,6.487556763920343,2.673211814199443,8950,0.895,0,323,0.1360436046084028,8766.708016569693,RandomAgent,12832.155890491107,EpsilonGreedyAgent,15751.585317443452,UCB_BaselineAgent,17123.90477067627,RiskAverseEpsilonGreedyAgent,10401.213644022906,RiskAverseUCBAgent
cb_opaque_threshold3_halt1,circuit_breaker,3,10000,5,5,3,1,0.0,False,64616.00585303337,6.461600585303337,2.6242273504398095,8906,0.8906,0,315,0.13975909142288434,8687.061705544938,RandomAgent,15138.111682025183,EpsilonGreedyAgent,17595.15743196866,UCB_BaselineAgent,12818.057572111267,RiskAverseEpsilonGreedyAgent,10377.617461383323,RiskAverseUCBAgent
cb_opaque_threshold3_halt1,circuit_breaker,4,10000,5,5,3,1,0.0,False,64754.60351668442,6.475460351668442,2.669216657591303,8861,0.8861,0,321,0.1345543749588609,8621.590018856234,RandomAgent,16806.363986761062,EpsilonGreedyAgent,15858.242071341294,UCB_BaselineAgent,10445.252002410147,RiskAverseEpsilonGreedyAgent,13023.155437315685,RiskAverseUCBAgent
cb_opaque_threshold3_halt1,circuit_breaker,5,10000,5,5,3,1,0.0,False,64679.49984125886,6.4679499841258865,2.6356989661286447,8873,0.8873,0,313,0.13935479227085557,8712.096768026639,RandomAgent,15139.855745128063,EpsilonGreedyAgent,17599.344782277436,UCB_BaselineAgent,12847.346433600722,RiskAverseEpsilonGreedyAgent,10380.856112226,RiskAverseUCBAgent
cb_opaque_threshold3_halt1,circuit_breaker,6,10000,5,5,3,1,0.0,False,65045.816750189886,6.504581675018988,2.625062808609578,8758,0.8758,0,314,0.13837126166850822,8684.623636811064,RandomAgent,15317.138663645059,EpsilonGreedyAgent,17494.4386698,UCB_BaselineAgent,10435.589404667071,RiskAverseEpsilonGreedyAgent,13114.026375266689,RiskAverseUCBAgent
cb_opaque_threshold3_halt1,circuit_breaker,7,10000,5,5,3,1,0.0,False,64955.6397116732,6.49556397116732,2.66037892137948,8877,0.8877,0,292,0.13784352953056733,8679.60407275638,RandomAgent,15560.975036704207,EpsilonGreedyAgent,17314.65636022931,UCB_BaselineAgent,10446.793009717778,RiskAverseEpsilonGreedyAgent,12953.611232265524,RiskAverseUCBAgent
cb_opaque_threshold3_halt1,circuit_breaker,8,10000,5,5,3,1,0.0,False,64823.07738131672,6.482307738131672,2.66323715709017,8793,0.8793,0,327,0.14086714074415108,8580.587127465285,RandomAgent,15473.700592211373,EpsilonGreedyAgent,17471.87101931375,UCB_BaselineAgent,10427.664463550993,RiskAverseEpsilonGreedyAgent,12869.254178775318,RiskAverseUCBAgent
cb_opaque_threshold3_halt1,circuit_breaker,9,10000,5,5,3,1,0.0,False,64442.89319019976,6.444289319019975,2.6428094164451137,8896,0.8896,0,341,0.13844025340106203,8687.401314656667,RandomAgent,14781.77820566252,EpsilonGreedyAgent,17689.636139386897,UCB_BaselineAgent,12801.555833242744,RiskAverseEpsilonGreedyAgent,10482.521697250924,RiskAverseUCBAgent
cb_opaque_threshold3_halt1,circuit_breaker,10,10000,5,5,3,1,0.0,False,65028.95175458397,6.502895175458397,2.610306320428193,8857,0.8857,0,290,0.13900320416914136,8743.61749568503,RandomAgent,15274.698947120562,EpsilonGreedyAgent,17628.622177714602,UCB_BaselineAgent,12935.38646700325,RiskAverseEpsilonGreedyAgent,10446.626667060526,RiskAverseUCBAgent
cb_opaque_threshold3_halt1,circuit_breaker,11,10000,5,5,3,1,0.0,False,64191.26232057733,6.4191262320577325,2.669540837187294,8921,0.8921,0,363,0.13269855238415262,8642.44239528795,RandomAgent,16736.507067549515,EpsilonGreedyAgent,15562.663160415397,UCB_BaselineAgent,12794.076156515997,RiskAverseEpsilonGreedyAgent,10455.573540808466,RiskAverseUCBAgent
