condition_name,avg_global_reward_mean,avg_global_reward_std,avg_reward_per_agent_per_step_mean,avg_reward_per_agent_per_step_std,reward_volatility_mean,reward_volatility_std,total_collisions_mean,total_collisions_std,avg_collisions_per_step_mean,avg_collisions_per_step_std,total_halted_choices_mean,total_halted_choices_std,total_triggers_mean,total_triggers_std,gini_total_rewards_mean,gini_total_rewards_std,market_wide_halt_steps_mean,market_wide_halt_steps_std,avg_available_arms_mean,avg_available_arms_std
balanced_cb_transparent_ratio08_halt10,1.6984402458498944,2.146373267464914,0.33968804916997886,0.42927465349298277,1.4021216529264835,0.554049936028858,5654.2,1480.6222457071076,0.5654199999999999,0.14806222457071075,0.0,0.0,4166.566666666667,1891.7580891372168,0.02264598363698917,0.05002143984773947,0.0,0.0,5.0,0.0
balanced_cb_transparent_ratio08_halt3,6.464441731274417,0.06954363189879298,1.2928883462548835,0.013908726379758594,2.6490345270161697,0.04939833934382716,8878.5,84.15820487793128,0.88785,0.008415820487793138,0.0,0.0,8.733333333333333,3.268800616627507,0.1347700922980353,0.004398772600497459,0.0,0.0,5.0,0.0
balanced_cb_transparent_ratio08_halt5,2.6693920965941773,2.1476696879829302,0.5338784193188354,0.429533937596586,1.5650968364382212,0.611763941522788,9742.566666666668,477.11747149857734,0.9742566666666667,0.047711747149857715,0.0,0.0,7668.733333333334,4297.379513733627,0.03165916875507208,0.05799540929373098,0.0,0.0,5.0,0.0
high_congestion_baseline,7.14181920154861,0.095986504168928,0.7141819201548609,0.009598650416892765,2.653578655300627,0.022188538799495006,31080.6,1834.548645044465,3.10806,0.1834548645044465,0.0,0.0,0.0,0.0,0.14825248100781696,0.01873606405391557,0.0,0.0,5.0,0.0
high_congestion_cb_opaque_ratio06_halt10,7.01307316071942,0.14293593047822967,0.701307316071942,0.014293593047822942,2.6851830218243347,0.020929164536789453,31995.7,2150.3761523398007,3.19957,0.21503761523398002,2045.3666666666666,874.9076989084023,108.6,42.43014543198397,0.14351489170215342,0.01912876916405096,0.0,0.0,5.0,0.0
high_congestion_cb_opaque_ratio06_halt3,7.106561889627161,0.11394830436244559,0.7106561889627161,0.011394830436244553,2.6595729225600437,0.02037029988607462,31161.066666666666,1530.2883643813414,3.1161066666666666,0.15302883643813422,710.3333333333334,243.41752597958717,140.5,41.213280417343874,0.1484879588286024,0.02162174627877119,0.0,0.0,5.0,0.0
high_congestion_cb_opaque_ratio06_halt5,7.095113467611158,0.1258009466641349,0.7095113467611159,0.012580094666413499,2.6723739275447977,0.0237160456503875,31089.4,1417.075828404491,3.1089399999999996,0.14170758284044924,1199.5333333333333,482.75386270233304,130.33333333333334,45.29545408669109,0.14503071359044692,0.017442601700192472,0.0,0.0,5.0,0.0
high_congestion_cb_opaque_ratio08_halt10,7.110180713034274,0.10085718637739868,0.7110180713034275,0.010085718637739879,2.654398449601488,0.022213529911949716,30982.7,1813.8391395429562,3.09827,0.1813839139542957,33.56666666666667,33.49182435835013,1.7333333333333334,1.5521583045227216,0.14725901153321458,0.018856078732615626,0.0,0.0,5.0,0.0
high_congestion_cb_opaque_ratio08_halt3,7.138582782679482,0.10328270310154583,0.7138582782679482,0.010328270310154576,2.658598158310811,0.01918893755685188,30903.2,1631.442970353926,3.0903199999999997,0.16314429703539263,8.366666666666667,6.583591585215439,1.8333333333333333,1.176884646541184,0.14530501159632367,0.018893104711563496,0.0,0.0,5.0,0.0
high_congestion_cb_opaque_ratio08_halt5,7.140879786707653,0.09660184659424365,0.7140879786707652,0.009660184659424368,2.6598373123935275,0.02031665820252647,30820.066666666666,1539.4763761239335,3.0820066666666666,0.15394763761239338,14.833333333333334,10.606059859680524,1.7,1.118804780974337,0.1464115364938186,0.020148440913476985,0.0,0.0,5.0,0.0
high_congestion_cb_transparent_ratio06_halt10,0.751414759870293,0.00848823624492874,0.07514147598702926,0.0008488236244928751,1.1476155659060299,0.014043265224579967,5002.066666666667,1.1724814044062355,0.5002066666666667,0.00011724814044059885,0.0,0.0,5000.0,0.0,0.0007021389948070833,0.00030986116557387485,0.0,0.0,5.0,0.0
high_congestion_cb_transparent_ratio06_halt3,7.010150322458169,0.1666860012497484,0.7010150322458168,0.016668600124974852,2.6664949744062514,0.01886689990580819,31175.666666666668,1813.4434635252073,3.117566666666667,0.18134434635252064,0.0,0.0,227.16666666666666,101.1114384652189,0.14349233601938502,0.02384090521077941,0.0,0.0,5.0,0.0
high_congestion_cb_transparent_ratio06_halt5,1.5035097552222514,0.013063832273634755,0.1503509755222251,0.0013063832273634737,1.2288326003186205,0.011483574410929506,10002.066666666668,1.1724814044059908,1.0002066666666667,0.00011724814044061408,0.0,0.0,10000.0,0.0,0.00035048305464949,0.0001535031141873644,0.0,0.0,5.0,0.0
high_congestion_cb_transparent_ratio08_halt10,4.159401373071463,3.2430113140644146,0.4159401373071463,0.3243011314064415,1.9506437990959564,0.7664565663267138,19018.633333333335,13429.85883686649,1.9018633333333335,1.3429858836866488,0.0,0.0,2334.3333333333335,2536.062388187958,0.07651646459466485,0.07476810353943064,0.0,0.0,5.0,0.0
high_congestion_cb_transparent_ratio08_halt3,7.128820938890728,0.10675838896646221,0.7128820938890729,0.01067583889664624,2.660713913857611,0.02217098120917145,31174.366666666665,1775.2961381586226,3.117436666666667,0.17752961381586232,0.0,0.0,3.0,2.2283440581246223,0.14583442790498907,0.01913674358689422,0.0,0.0,5.0,0.0
high_congestion_cb_transparent_ratio08_halt5,5.266975798501043,2.706167243356897,0.5266975798501042,0.27061672433568973,2.1789673848226596,0.6817297325725806,23710.566666666666,9909.921596416714,2.3710566666666666,0.9909921596416716,0.0,0.0,3334.633333333333,4793.410660215884,0.09951167395619047,0.07279697281184336,0.0,0.0,5.0,0.0
low_congestion_baseline,7.69862372529507,0.14618386421297022,1.5397247450590141,0.029236772842594107,2.988192654185811,0.2016099039328953,4686.366666666667,78.47137995004539,0.4686366666666667,0.007847137995004522,0.0,0.0,0.0,0.0,0.09504573744443978,0.006421913188863332,0.0,0.0,10.0,0.0
low_congestion_cb_opaque_ratio06_halt10,7.550520120362893,0.17990506891277602,1.5101040240725785,0.03598101378255524,3.001860401614819,0.2133791219214655,4650.633333333333,71.52355933697574,0.46506333333333333,0.00715235593369757,669.8333333333334,110.51418486995807,91.5,15.40432093434423,0.09187511150200381,0.00861043908397462,0.0,0.0,10.0,0.0
low_congestion_cb_opaque_ratio06_halt3,7.677989638305074,0.11934925183253701,1.535597927661015,0.023869850366507298,2.98034490548419,0.20349844195915004,4656.6,69.31318230596047,0.46565999999999996,0.0069313182305960515,183.96666666666667,31.89041941672628,98.73333333333333,14.701473849017086,0.09353539114146606,0.005221053256487031,0.0,0.0,10.0,0.0
low_congestion_cb_opaque_ratio06_halt5,7.577282158645346,0.14209987699966964,1.5154564317290693,0.02841997539993399,2.8700129391763314,0.23528587944536725,4660.133333333333,72.32290300347861,0.46601333333333333,0.007232290300347869,325.1,43.452193309984665,95.56666666666666,11.446075470577718,0.09541838366554314,0.006528362804657025,0.0,0.0,10.0,0.0
low_congestion_cb_opaque_ratio08_halt10,7.667801319948817,0.15343104182423056,1.5335602639897634,0.03068620836484603,2.9293384232506923,0.23535772240487388,4673.5,82.49754437306716,0.46735,0.00824975443730673,15.633333333333333,9.426607000412709,2.8,1.5177115259040728,0.09676576935280297,0.00618172278980105,0.0,0.0,10.0,0.0
low_congestion_cb_opaque_ratio08_halt3,7.68860938309156,0.1313344755088837,1.537721876618312,0.026266895101776707,2.937006293825142,0.23924719506648523,4696.5,80.40404433128718,0.46964999999999996,0.008040404433128716,3.533333333333333,1.9953970019528193,2.6666666666666665,1.2410599844719317,0.09445232953992577,0.004541238217924819,0.0,0.0,10.0,0.0
low_congestion_cb_opaque_ratio08_halt5,7.657464235703098,0.1450889634349107,1.5314928471406195,0.029017792686982086,2.912447304281223,0.22928616183691644,4699.7,75.91063257496316,0.46997,0.0075910632574963215,7.8,4.25400419888579,3.033333333333333,1.3256965204630418,0.09596367319905198,0.005840886491054127,0.0,0.0,10.0,0.0
low_congestion_cb_transparent_ratio06_halt10,1.5040062677038302,0.01221274251228298,0.300801253540766,0.0024425485024565864,1.2309802649887323,0.015206988474663294,10001.733333333334,2.3183426501873243,1.0001733333333334,0.00023183426501875942,0.0,0.0,9999.133333333333,2.4876707473305624,0.0005429437327124246,0.00031607967515827297,0.0,0.0,10.0,0.0
low_congestion_cb_transparent_ratio06_halt3,7.684717792578256,0.1505501960655491,1.5369435585156515,0.03011003921310982,2.9596543579907832,0.23907634992850485,4700.3,94.20599219538671,0.47003,0.009420599219538672,0.0,0.0,103.43333333333334,15.977750334359541,0.09423809419258226,0.007088581727442774,0.0,0.0,10.0,0.0
low_congestion_cb_transparent_ratio06_halt5,7.665138655521386,0.16638389267705467,1.533027731104277,0.03327677853541098,2.9799871498940345,0.21586118342249594,4701.433333333333,79.0725041941904,0.47014333333333336,0.007907250419419008,0.0,0.0,106.83333333333333,15.279202302100257,0.09420705634220322,0.006245647940266639,0.0,0.0,10.0,0.0
low_congestion_cb_transparent_ratio08_halt10,6.2305690976806805,2.6573182782728537,1.2461138195361359,0.5314636556545707,2.5450541901220163,0.7684348251718206,5911.266666666666,2295.1165387484757,0.5911266666666666,0.22951165387484748,0.0,0.0,2336.3333333333335,4300.147891068105,0.07358975062440956,0.04178215834743848,0.0,0.0,10.0,0.0
low_congestion_cb_transparent_ratio08_halt3,7.645188784855536,0.14322870200165724,1.5290377569711073,0.028645740400331438,2.9280098803519645,0.212784373027552,4697.633333333333,78.33547808264639,0.46976333333333337,0.007833547808264653,0.0,0.0,4.2,2.1559860533104023,0.09405929135937106,0.006960139345526477,0.0,0.0,10.0,0.0
low_congestion_cb_transparent_ratio08_halt5,7.643987930980653,0.1535808263281792,1.5287975861961305,0.030716165265635823,2.9126550189125973,0.23149678028358484,4655.666666666667,63.83887764403896,0.4655666666666667,0.006383887764403898,0.0,0.0,4.433333333333334,2.514555329625325,0.09660864303188695,0.00717663009045347,0.0,0.0,10.0,0.0
