condition_name,condition_type,market_name,collision_policy,seed,steps,n_agents,n_arms,threshold,threshold_ratio,halt_duration,halted_reward,transparent,total_reward,avg_global_reward,avg_reward_per_agent_per_step,reward_volatility,total_collisions,avg_collisions_per_step,total_halted_choices,total_triggers,market_wide_halt_steps,avg_available_arms,gini_total_rewards,agent_0_reward,agent_0_name,agent_1_reward,agent_1_name,agent_2_reward,agent_2_name,agent_3_reward,agent_3_name,agent_4_reward,agent_4_name,agent_5_reward,agent_5_name,agent_6_reward,agent_6_name,agent_7_reward,agent_7_name,agent_8_reward,agent_8_name,agent_9_reward,agent_9_name
low_congestion_baseline,baseline,low_congestion,linear_share,21,10000,5,10,,,,,,78281.33087741373,7.828133087741373,1.5656266175482745,3.13036519486863,4624,0.4624,0,0,0,10,0.09754730141809831,11518.280013822889,RandomAgent_1,16413.46380984497,EpsilonGreedyAgent_1,18766.669747622538,UCB_BaselineAgent_1,18088.23464239821,RiskAverseEpsilonGreedyAgent_1,13494.682663725125,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,22,10000,5,10,,,,,,76707.60517175279,7.670760517175279,1.5341521034350558,3.039548446726716,4672,0.4672,0,0,0,10,0.0860579277586766,11560.259445826365,RandomAgent_1,16465.17446573881,EpsilonGreedyAgent_1,18413.51131759545,UCB_BaselineAgent_1,13735.95991255043,RiskAverseEpsilonGreedyAgent_1,16532.700030041735,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,23,10000,5,10,,,,,,75453.1598701516,7.545315987015161,1.5090631974030322,2.6532792999864157,4728,0.4728,0,0,0,10,0.0959064588553511,11711.533755243268,RandomAgent_1,18181.001514867974,EpsilonGreedyAgent_1,18397.490041534445,UCB_BaselineAgent_1,13701.333902537901,RiskAverseEpsilonGreedyAgent_1,13461.80065596802,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,24,10000,5,10,,,,,,76097.69186158282,7.609769186158282,1.5219538372316563,2.830243752564312,4693,0.4693,0,0,0,10,0.09557841272683154,11480.003519115671,RandomAgent_1,14280.803433775185,EpsilonGreedyAgent_1,18536.46140464985,UCB_BaselineAgent_1,13865.04888717323,RiskAverseEpsilonGreedyAgent_1,17935.374616868885,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,25,10000,5,10,,,,,,73659.64784063108,7.365964784063108,1.4731929568126216,2.5799187654375406,4689,0.4689,0,0,0,10,0.11442941422423147,11732.481277753846,RandomAgent_1,18319.430753864468,EpsilonGreedyAgent_1,18607.041222814292,UCB_BaselineAgent_1,11364.478017911373,RiskAverseEpsilonGreedyAgent_1,13636.216568287102,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,26,10000,5,10,,,,,,77476.65978191377,7.747665978191376,1.5495331956382754,3.0752008074002286,4674,0.4674,0,0,0,10,0.09776199984223011,11423.099872791267,RandomAgent_1,15980.222024150939,EpsilonGreedyAgent_1,18522.031802079873,UCB_BaselineAgent_1,18144.56261387718,RiskAverseEpsilonGreedyAgent_1,13406.74346901451,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,27,10000,5,10,,,,,,78223.66627763427,7.822366627763427,1.5644733255526855,3.113253557075097,4631,0.4631,0,0,0,10,0.09449479423330165,11491.371431374713,RandomAgent_1,16431.009108841004,EpsilonGreedyAgent_1,18442.613436351126,UCB_BaselineAgent_1,18217.755706906686,RiskAverseEpsilonGreedyAgent_1,13640.916594160743,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,28,10000,5,10,,,,,,77206.56703682178,7.720656703682178,1.5441313407364357,3.0892813211486994,4606,0.4606,0,0,0,10,0.09216660957076561,11396.151349132853,RandomAgent_1,16144.475913438519,EpsilonGreedyAgent_1,18106.1956163545,UCB_BaselineAgent_1,17964.662212203682,RiskAverseEpsilonGreedyAgent_1,13595.081945692233,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_baseline,baseline,low_congestion,linear_share,29,10000,5,10,,,,,,78160.63663853571,7.816063663853571,1.5632127327707142,3.0992375572310014,4620,0.462,0,0,0,10,0.0962169369442043,11591.871340022462,RandomAgent_1,16356.375499437358,EpsilonGreedyAgent_1,18695.04625609466,UCB_BaselineAgent_1,18055.96816412949,RiskAverseEpsilonGreedyAgent_1,13461.375378851733,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_cb_opaque_ratio06_halt3,circuit_breaker,low_congestion,linear_share,0,10000,5,10,3,0.6,3,0.0,False,73436.27160606859,7.343627160606859,1.4687254321213719,2.649378506514518,4561,0.4561,170,105,0,9.9685,0.1101971379430764,11940.788847884223,RandomAgent_1,17652.770398780893,EpsilonGreedyAgent_1,18628.458863467662,UCB_BaselineAgent_1,11368.865948667051,RiskAverseEpsilonGreedyAgent_1,13845.387547268763,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_cb_opaque_ratio06_halt3,circuit_breaker,low_congestion,linear_share,1,10000,5,10,3,0.6,3,0.0,False,76877.98773184401,7.687798773184401,1.5375597546368802,3.0625061642082505,4726,0.4726,150,85,0,9.9745,0.08468961137619724,11706.479272692573,RandomAgent_1,16279.78406583129,EpsilonGreedyAgent_1,18482.785178382226,UCB_BaselineAgent_1,13842.3168826662,RiskAverseEpsilonGreedyAgent_1,16566.622332271727,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_cb_opaque_ratio06_halt3,circuit_breaker,low_congestion,linear_share,2,10000,5,10,3,0.6,3,0.0,False,77736.09437268264,7.773609437268264,1.5547218874536528,3.101723912209944,4625,0.4625,177,99,0,9.9703,0.09205439527120785,11463.864235427902,RandomAgent_1,16437.31657120844,EpsilonGreedyAgent_1,18262.526413509622,UCB_BaselineAgent_1,17932.46784596517,RiskAverseEpsilonGreedyAgent_1,13639.9193065715,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_cb_opaque_ratio06_halt3,circuit_breaker,low_congestion,linear_share,3,10000,5,10,3,0.6,3,0.0,False,77626.98570278182,7.762698570278182,1.5525397140556365,3.111934960534317,4741,0.4741,175,100,0,9.97,0.09423327892177347,11350.243325841693,RandomAgent_1,16400.838808074914,EpsilonGreedyAgent_1,18257.22588579891,UCB_BaselineAgent_1,18046.163026059385,RiskAverseEpsilonGreedyAgent_1,13572.514657006925,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_cb_opaque_ratio06_halt3,circuit_breaker,low_congestion,linear_share,4,10000,5,10,3,0.6,3,0.0,False,76373.78162888961,7.637378162888961,1.5274756325777923,2.9397784534831763,4735,0.4735,216,108,0,9.9676,0.09038595839251906,11581.329231926453,RandomAgent_1,15002.733816501446,EpsilonGreedyAgent_1,18416.597482072426,UCB_BaselineAgent_1,13892.931988605404,RiskAverseEpsilonGreedyAgent_1,17480.189109783878,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_cb_opaque_ratio06_halt3,circuit_breaker,low_congestion,linear_share,5,10000,5,10,3,0.6,3,0.0,False,75581.34064459961,7.558134064459961,1.511626812891992,2.6594517728474827,4592,0.4592,184,104,0,9.9688,0.0977075975770012,11856.729480730844,RandomAgent_1,17979.50351978943,EpsilonGreedyAgent_1,18671.741117688693,UCB_BaselineAgent_1,13926.0177727675,RiskAverseEpsilonGreedyAgent_1,13147.348753623142,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_cb_opaque_ratio06_halt3,circuit_breaker,low_congestion,linear_share,6,10000,5,10,3,0.6,3,0.0,False,75428.67046333864,7.542867046333864,1.5085734092667729,2.666011361919772,4621,0.4621,187,103,0,9.9691,0.10291092481634245,11459.943759345977,RandomAgent_1,18143.295816317393,EpsilonGreedyAgent_1,18783.901076090555,UCB_BaselineAgent_1,13656.404949401409,RiskAverseEpsilonGreedyAgent_1,13385.124862183302,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_cb_opaque_ratio06_halt3,circuit_breaker,low_congestion,linear_share,7,10000,5,10,3,0.6,3,0.0,False,74908.91239550544,7.490891239550544,1.4981782479101087,2.7089810578202194,4750,0.475,218,102,0,9.9694,0.09961942967230342,11551.714572247523,RandomAgent_1,17972.197700930843,EpsilonGreedyAgent_1,18437.090746775964,UCB_BaselineAgent_1,13860.917151095357,RiskAverseEpsilonGreedyAgent_1,13086.992224455747,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_cb_opaque_ratio06_halt3,circuit_breaker,low_congestion,linear_share,8,10000,5,10,3,0.6,3,0.0,False,74890.30689152726,7.489030689152726,1.4978061378305452,2.633489944111912,4732,0.4732,229,128,0,9.9616,0.0945101649460891,11523.575610832611,RandomAgent_1,17972.208173698345,EpsilonGreedyAgent_1,18145.408365036797,UCB_BaselineAgent_1,13727.979202806455,RiskAverseEpsilonGreedyAgent_1,13521.135539153045,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_cb_opaque_ratio06_halt3,circuit_breaker,low_congestion,linear_share,9,10000,5,10,3,0.6,3,0.0,False,77681.35340898673,7.768135340898673,1.5536270681797346,3.1403000081029644,4589,0.4589,189,100,0,9.97,0.09469489363119621,11553.781653582282,RandomAgent_1,16371.772374302847,EpsilonGreedyAgent_1,18589.670188641783,UCB_BaselineAgent_1,17742.210433909615,RiskAverseEpsilonGreedyAgent_1,13423.918758550199,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_cb_opaque_ratio06_halt3,circuit_breaker,low_congestion,linear_share,10,10000,5,10,3,0.6,3,0.0,False,78063.7212870596,7.80637212870596,1.561274425741192,3.1463501408879337,4603,0.4603,129,73,0,9.9781,0.0972283766876818,11445.787710466097,RandomAgent_1,16247.079335235632,EpsilonGreedyAgent_1,18340.811562764186,UCB_BaselineAgent_1,18518.60959470426,RiskAverseEpsilonGreedyAgent_1,13511.43308388942,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_cb_opaque_ratio06_halt3,circuit_breaker,low_congestion,linear_share,11,10000,5,10,3,0.6,3,0.0,False,76684.06041459553,7.668406041459553,1.5336812082919107,3.1078631448411596,4560,0.456,246,129,0,9.9613,0.09498407489779637,11523.64049926699,RandomAgent_1,16307.318451822946,EpsilonGreedyAgent_1,18465.792944260338,UCB_BaselineAgent_1,13031.101032257115,RiskAverseEpsilonGreedyAgent_1,17356.207486988133,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_cb_opaque_ratio06_halt3,circuit_breaker,low_congestion,linear_share,12,10000,5,10,3,0.6,3,0.0,False,77692.53618753207,7.769253618753207,1.5538507237506414,3.126267265909713,4647,0.4647,151,88,0,9.9736,0.09271247667441052,11547.81000754513,RandomAgent_1,16106.105515639263,EpsilonGreedyAgent_1,18474.744261742246,UCB_BaselineAgent_1,17858.838258433552,RiskAverseEpsilonGreedyAgent_1,13705.03814417187,RiskAverseUCBAgent_1,,,,,,,,,,
low_congestion_cb_opaque_ratio06_halt3,circuit_breaker,low_congestion,linear_share,13,10000,5,10,3,0.6,3,0.0,False,77073.74061226592,7.7073740612265915,1.5414748122453183,3.1169417248679707,4683,0.4683,183,99,0,9.9703,0.09154751019516705,11525.083276515057,RandomAgent_1,16198.241136462062,EpsilonGreedyAgent_1,18023.814208489188,UCB_BaselineAgent_1,13342.145609272613,RiskAverseEpsilonGreedyAgent_1,17984.456381526994,RiskAverseUCBAgent_1,,,,,,,,,,
