condition_name,agent_name,mean_reward,std_reward,ci95_reward,n_observations
high_congestion_linear_share_cb_opaque_ratio06_halt3,UCB_BaselineAgent_2,6894.390008706234,966.2463205559778,345.7668051715861,30
high_congestion_linear_share_cb_opaque_ratio06_halt3,RiskAverseEpsilonGreedyAgent_2,8312.820405106662,976.6048132556845,349.4735441789956,30
high_congestion_linear_share_cb_opaque_ratio06_halt3,RiskAverseUCBAgent_2,4720.532573705319,628.2369304847994,224.81169834576198,30
high_congestion_linear_share_cb_transparent_ratio06_halt3,RandomAgent_1,6076.490475504884,163.61474679577924,58.54878520622233,30
high_congestion_linear_share_cb_transparent_ratio06_halt3,EpsilonGreedyAgent_1,9118.19878123614,2016.1049655131346,721.453896367683,30
high_congestion_linear_share_cb_transparent_ratio06_halt3,UCB_BaselineAgent_1,6572.877568485536,1043.888864694236,373.5508327647076,30
high_congestion_linear_share_cb_transparent_ratio06_halt3,RiskAverseEpsilonGreedyAgent_1,8664.152943656874,906.4146316851753,324.3563102814488,30
high_congestion_linear_share_cb_transparent_ratio06_halt3,RiskAverseUCBAgent_1,4781.746330651849,624.8485631582006,223.59918667007278,30
high_congestion_linear_share_cb_transparent_ratio06_halt3,RandomAgent_2,6071.211236403882,137.14575364533545,49.07697765256311,30
high_congestion_linear_share_cb_transparent_ratio06_halt3,EpsilonGreedyAgent_2,9222.260075617545,1757.265565816658,628.8294067509103,30
high_congestion_linear_share_cb_transparent_ratio06_halt3,UCB_BaselineAgent_2,6572.877568485536,1043.888864694236,373.5508327647076,30
high_congestion_linear_share_cb_transparent_ratio06_halt3,RiskAverseEpsilonGreedyAgent_2,8239.941913887584,613.86637805189,219.6692622013027,30
high_congestion_linear_share_cb_transparent_ratio06_halt3,RiskAverseUCBAgent_2,4781.746330651849,624.8485631582006,223.59918667007278,30
high_congestion_linear_share_cb_opaque_ratio06_halt5,RandomAgent_1,5995.1895449157455,109.60280588043594,39.22086037576209,30
high_congestion_linear_share_cb_opaque_ratio06_halt5,EpsilonGreedyAgent_1,9118.881763616642,1514.042832528109,541.7932694377124,30
high_congestion_linear_share_cb_opaque_ratio06_halt5,UCB_BaselineAgent_1,6895.552856927742,805.6203549231777,288.2875415688051,30
high_congestion_linear_share_cb_opaque_ratio06_halt5,RiskAverseEpsilonGreedyAgent_1,8511.837614711987,1036.1730629166984,370.78976855861436,30
high_congestion_linear_share_cb_opaque_ratio06_halt5,RiskAverseUCBAgent_1,4727.590261291296,457.27334522104326,163.6331650672962,30
high_congestion_linear_share_cb_opaque_ratio06_halt5,RandomAgent_2,5996.798474675551,123.02298061685931,44.02320822924478,30
high_congestion_linear_share_cb_opaque_ratio06_halt5,EpsilonGreedyAgent_2,9741.795904785457,1572.6524590098613,562.7664549182375,30
high_congestion_linear_share_cb_opaque_ratio06_halt5,UCB_BaselineAgent_2,6895.552856927742,805.6203549231777,288.2875415688051,30
high_congestion_linear_share_cb_opaque_ratio06_halt5,RiskAverseEpsilonGreedyAgent_2,8340.345136968124,998.8786100590431,357.4441199999798,30
high_congestion_linear_share_cb_opaque_ratio06_halt5,RiskAverseUCBAgent_2,4727.590261291296,457.27334522104326,163.6331650672962,30
high_congestion_linear_share_cb_transparent_ratio06_halt5,RandomAgent_1,1505.1593225798815,12.462192271589227,4.459538231102432,30
high_congestion_linear_share_cb_transparent_ratio06_halt5,EpsilonGreedyAgent_1,1503.3071334590124,13.003358577828527,4.6531921067179205,30
high_congestion_linear_share_cb_transparent_ratio06_halt5,UCB_BaselineAgent_1,1502.8846966644574,13.190241923192277,4.720067452984719,30
high_congestion_linear_share_cb_transparent_ratio06_halt5,RiskAverseEpsilonGreedyAgent_1,1503.107821205358,13.23946911946015,4.737683178932636,30
high_congestion_linear_share_cb_transparent_ratio06_halt5,RiskAverseUCBAgent_1,1502.8846966644574,13.190241923192277,4.720067452984719,30
high_congestion_linear_share_cb_transparent_ratio06_halt5,RandomAgent_2,1505.219755872821,13.274453529026022,4.7502021891157185,30
high_congestion_linear_share_cb_transparent_ratio06_halt5,EpsilonGreedyAgent_2,1503.5936835817631,13.056626695193595,4.672253857709351,30
