condition_name,condition_type,market_name,collision_policy,seed,steps,n_agents,n_arms,threshold,threshold_ratio,halt_duration,halted_reward,transparent,total_reward,avg_global_reward,avg_reward_per_agent_per_step,reward_volatility,total_collisions,avg_collisions_per_step,total_halted_choices,total_triggers,market_wide_halt_steps,avg_available_arms,gini_total_rewards,agent_0_reward,agent_0_name,agent_1_reward,agent_1_name,agent_2_reward,agent_2_name,agent_3_reward,agent_3_name,agent_4_reward,agent_4_name,agent_5_reward,agent_5_name,agent_6_reward,agent_6_name,agent_7_reward,agent_7_name,agent_8_reward,agent_8_name,agent_9_reward,agent_9_name
balanced_linear_share_baseline,baseline,balanced,linear_share,21,10000,5,5,,,,,,65306.77679172168,6.530677679172168,1.3061355358344335,2.6859291735330375,8750,0.875,0,0,0,5,0.13518943769733482,8730.098047925834,RandomAgent_1,17007.368503650683,EpsilonGreedyAgent_1,16010.657344993951,UCB_BaselineAgent_1,10493.232175698155,RiskAverseEpsilonGreedyAgent_1,13065.420719453052,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,22,10000,5,5,,,,,,64740.8057380286,6.474080573802859,1.294816114760572,2.6446932373211407,8846,0.8846,0,0,0,5,0.13253714389737303,8737.06945251195,RandomAgent_1,16833.372185228865,EpsilonGreedyAgent_1,15700.92472268114,UCB_BaselineAgent_1,10442.126472782558,RiskAverseEpsilonGreedyAgent_1,13027.312904824083,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,23,10000,5,5,,,,,,64372.70102459081,6.437270102459081,1.2874540204918161,2.671822414962477,9114,0.9114,0,0,0,5,0.12479568309454225,8845.455673159438,RandomAgent_1,16318.254115953992,EpsilonGreedyAgent_1,15762.948994536404,UCB_BaselineAgent_1,12821.08435332683,RiskAverseEpsilonGreedyAgent_1,10624.957887614144,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,24,10000,5,5,,,,,,64464.372666979034,6.446437266697903,1.2892874533395806,2.630887409643902,8913,0.8913,0,0,0,5,0.13541135596557008,8625.461718862078,RandomAgent_1,15192.882441798158,EpsilonGreedyAgent_1,17152.477850898784,UCB_BaselineAgent_1,10423.894420107905,RiskAverseEpsilonGreedyAgent_1,13069.656235312113,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,25,10000,5,5,,,,,,64762.487666827845,6.476248766682785,1.2952497533365568,2.641544148205734,8830,0.883,0,0,0,5,0.13554425550243088,8775.842926341455,RandomAgent_1,15597.814221255829,EpsilonGreedyAgent_1,17175.484907233047,UCB_BaselineAgent_1,12761.705367172372,RiskAverseEpsilonGreedyAgent_1,10451.64024482514,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,26,10000,5,5,,,,,,64095.525149409135,6.409552514940914,1.2819105029881828,2.5705128406142603,9010,0.901,0,0,0,5,0.13696077808520446,8857.174025840779,RandomAgent_1,14772.056234171321,EpsilonGreedyAgent_1,17672.4657240376,UCB_BaselineAgent_1,10456.207139957804,RiskAverseEpsilonGreedyAgent_1,12337.62202540163,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,27,10000,5,5,,,,,,64756.419614793704,6.47564196147937,1.295128392295874,2.6499673422501364,8834,0.8834,0,0,0,5,0.1324259900810676,8685.187641260922,RandomAgent_1,16840.219991368638,EpsilonGreedyAgent_1,15643.423810196122,UCB_BaselineAgent_1,10514.90605642624,RiskAverseEpsilonGreedyAgent_1,13072.682115541786,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,28,10000,5,5,,,,,,64854.53448065599,6.4854534480655985,1.2970906896131198,2.6247259275936483,8841,0.8841,0,0,0,5,0.13584286832562809,8802.49680426,RandomAgent_1,15035.60363433267,EpsilonGreedyAgent_1,17555.841113119117,UCB_BaselineAgent_1,10517.227282611775,RiskAverseEpsilonGreedyAgent_1,12943.36564633243,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_baseline,baseline,balanced,linear_share,29,10000,5,5,,,,,,64737.830874549516,6.473783087454952,1.2947566174909904,2.6503007515557964,8871,0.8871,0,0,0,5,0.1392798687107506,8691.896887126619,RandomAgent_1,15456.401151179893,EpsilonGreedyAgent_1,17394.164641820586,UCB_BaselineAgent_1,12876.122995919693,RiskAverseEpsilonGreedyAgent_1,10319.245198502726,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,0,10000,5,5,3,0.6,3,0.0,False,63283.184392586845,6.328318439258685,1.2656636878517369,2.649536802701851,8872,0.8872,801,349,0,4.8953,0.12965975889150694,8615.032956846639,RandomAgent_1,15118.559860969703,EpsilonGreedyAgent_1,12732.439870697537,UCB_BaselineAgent_1,16480.621277456827,RiskAverseEpsilonGreedyAgent_1,10336.530426616138,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,1,10000,5,5,3,0.6,3,0.0,False,63927.44322242732,6.392744322242732,1.2785488644485463,2.6907675687359927,8811,0.8811,618,282,0,4.9154,0.13369950550568865,8678.804925295382,RandomAgent_1,16904.42077553603,EpsilonGreedyAgent_1,15244.339753590473,UCB_BaselineAgent_1,12771.97518163749,RiskAverseEpsilonGreedyAgent_1,10327.90258636794,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,2,10000,5,5,3,0.6,3,0.0,False,59836.80006872463,5.983680006872463,1.1967360013744925,2.3924023718166487,9011,0.9011,857,373,0,4.8881,0.12683946257250134,8889.570600904211,RandomAgent_1,13364.011367081515,EpsilonGreedyAgent_1,16854.863721817073,UCB_BaselineAgent_1,10320.428701969127,RiskAverseEpsilonGreedyAgent_1,10407.925676952704,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,3,10000,5,5,3,0.6,3,0.0,False,64071.723374380046,6.407172337438005,1.2814344674876008,2.655018278749567,8757,0.8757,712,303,0,4.9091,0.13892776213066993,8451.994051466523,RandomAgent_1,16815.630402230847,EpsilonGreedyAgent_1,15800.197216583168,UCB_BaselineAgent_1,10274.117057466941,RiskAverseEpsilonGreedyAgent_1,12729.784646632568,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,4,10000,5,5,3,0.6,3,0.0,False,63448.3274885251,6.34483274885251,1.268966549770502,2.636751244678686,8761,0.8761,677,296,0,4.9112,0.13875148133756388,8606.572573297786,RandomAgent_1,14724.43829299919,EpsilonGreedyAgent_1,17268.959120456646,UCB_BaselineAgent_1,10040.337818757642,RiskAverseEpsilonGreedyAgent_1,12808.01968301384,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,5,10000,5,5,3,0.6,3,0.0,False,64258.26457307416,6.425826457307416,1.285165291461483,2.637281161644809,8851,0.8851,621,276,0,4.9172,0.13705852956157427,8587.863410648484,RandomAgent_1,15433.382245567003,EpsilonGreedyAgent_1,17034.874501546034,UCB_BaselineAgent_1,10309.546290951757,RiskAverseEpsilonGreedyAgent_1,12892.59812436088,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,6,10000,5,5,3,0.6,3,0.0,False,62190.11068748862,6.219011068748862,1.2438022137497724,2.6458100455775937,8810,0.881,727,315,0,4.9055,0.145025329145553,8686.51317614203,RandomAgent_1,14654.102507929343,EpsilonGreedyAgent_1,17125.708735205317,UCB_BaselineAgent_1,8984.640445927414,RiskAverseEpsilonGreedyAgent_1,12739.145822284516,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,7,10000,5,5,3,0.6,3,0.0,False,63898.931633983855,6.389893163398385,1.2779786326796772,2.6404979312122685,8923,0.8923,641,281,0,4.9157,0.13432307400706334,8532.845091815407,RandomAgent_1,16749.33406135753,EpsilonGreedyAgent_1,15447.960113060639,UCB_BaselineAgent_1,10423.18574503516,RiskAverseEpsilonGreedyAgent_1,12745.60662271512,RiskAverseUCBAgent_1,,,,,,,,,,
balanced_linear_share_cb_opaque_ratio06_halt3,circuit_breaker,balanced,linear_share,8,10000,5,5,3,0.6,3,0.0,False,63925.99964297163,6.392599964297163,1.2785199928594326,2.6735082745221646,8800,0.88,769,318,0,4.9046,0.1398525334602354,8448.385504881928,RandomAgent_1,15160.878754136224,EpsilonGreedyAgent_1,17214.24504130831,UCB_BaselineAgent_1,10342.065316869792,RiskAverseEpsilonGreedyAgent_1,12760.425025775372,RiskAverseUCBAgent_1,,,,,,,,,,
