condition_name,condition_type,market_name,collision_policy,n_seeds,steps,n_agents,n_arms,threshold,threshold_ratio,halt_duration,halted_reward,transparent,avg_global_reward_mean,avg_global_reward_std,avg_global_reward_ci95,avg_reward_per_agent_per_step_mean,avg_reward_per_agent_per_step_std,avg_reward_per_agent_per_step_ci95,reward_volatility_mean,reward_volatility_std,reward_volatility_ci95,total_collisions_mean,total_collisions_std,total_collisions_ci95,avg_collisions_per_step_mean,avg_collisions_per_step_std,avg_collisions_per_step_ci95,total_halted_choices_mean,total_halted_choices_std,total_halted_choices_ci95,total_triggers_mean,total_triggers_std,total_triggers_ci95,gini_total_rewards_mean,gini_total_rewards_std,gini_total_rewards_ci95,market_wide_halt_steps_mean,market_wide_halt_steps_std,market_wide_halt_steps_ci95,avg_available_arms_mean,avg_available_arms_std,avg_available_arms_ci95,baseline_condition,relative_efficiency
high_congestion_linear_share_cb_transparent_ratio06_halt3,circuit_breaker,high_congestion,linear_share,30,10000,10,5,6,0.6,3,0.0,True,7.3850207381753545,0.03422875046858469,0.012248601047948112,0.7385020738175355,0.0034228750468584617,0.0012248601047948088,2.637437101150148,0.016843726140603858,0.006027449989636803,35187.1,398.14261437242607,142.47350478396075,3.51871,0.03981426143724263,0.014247350478396084,0.0,0.0,0.0,19.166666666666668,5.711955600458498,2.043997060828202,0.08263661254463243,0.015530585683771532,0.005557548712042062,0.0,0.0,0.0,4.99425,0.0017135866801375823,0.0006131991182484725,high_congestion_linear_share_baseline,0.9985641454244112
high_congestion_linear_share_cb_opaque_ratio06_halt5,circuit_breaker,high_congestion,linear_share,30,10000,10,5,6,0.6,5,0.0,False,7.379718966201784,0.028804251338297615,0.010307468963888861,0.7379718966201785,0.0028804251338297587,0.0010307468963888853,2.636748190775682,0.02108224165129353,0.0075441832859231076,35227.7,453.2520156107112,162.19415074731788,3.52277,0.04532520156107112,0.016219415074731788,130.23333333333332,35.62804332635133,12.749331566281157,14.833333333333334,3.788215241065861,1.3555954142748732,0.08533973968047377,0.015843731362756217,0.005669606454123315,0.0,0.0,0.0,4.992583333333333,0.0018941076205330125,0.0006777977071374659,high_congestion_linear_share_baseline,0.9978472673562623
high_congestion_linear_share_cb_transparent_ratio06_halt5,circuit_breaker,high_congestion,linear_share,30,10000,10,5,6,0.6,5,0.0,True,5.029221268467847,2.814141706646782,1.0070276765943986,0.5029221268467846,0.2814141706646782,0.10070276765943985,2.245240336699727,0.6607133832776118,0.23643324772358032,25026.366666666665,12047.517519313302,4311.148776747496,2.5026366666666666,1.20475175193133,0.43111487767474954,0.0,0.0,0.0,4019.866666666667,4759.7839615805615,1703.2668158111978,0.054459904627044295,0.039081867106549255,0.01398526653306844,0.0,0.0,0.0,2.9905333333333335,2.379428089548691,0.8514674065567304,high_congestion_linear_share_baseline,0.6800251774700734
high_congestion_linear_share_cb_opaque_ratio08_halt3,circuit_breaker,high_congestion,linear_share,30,10000,10,5,8,0.8,3,0.0,False,7.3962018840377555,0.025700281579633017,0.009196727650861011,0.7396201884037755,0.0025700281579632894,0.0009196727650860966,2.643338345269312,0.018057660459863355,0.0064618508068290306,35025.666666666664,495.35973228333376,177.2622036415173,3.5025666666666666,0.049535973228333384,0.01772622036415173,0.36666666666666664,1.4499306364701425,0.5188510147228462,0.06666666666666667,0.2537081317024624,0.09078828894720775,0.08856914888654015,0.020790321323116232,0.0074397209380815885,0.0,0.0,0.0,4.99998,7.611243951078668e-05,2.7236486684179483e-05,high_congestion_linear_share_baseline,1.0000760018915484
high_congestion_linear_share_cb_transparent_ratio08_halt3,circuit_breaker,high_congestion,linear_share,30,10000,10,5,8,0.8,3,0.0,True,7.393496138920043,0.02893810442508823,0.010355367675839782,0.7393496138920044,0.002893810442508815,0.0010355367675839752,2.6416660529364577,0.017049718157431008,0.006101163286167849,34995.6,510.1162544983724,182.54275729868576,3.4995600000000002,0.051011625449837256,0.018254275729868583,0.0,0.0,0.0,0.06666666666666667,0.2537081317024624,0.09078828894720775,0.08884599851003848,0.020683139704913707,0.007401366488589162,0.0,0.0,0.0,4.99998,7.611243951078668e-05,2.7236486684179483e-05,high_congestion_linear_share_baseline,0.9997101450907359
high_congestion_linear_share_cb_opaque_ratio08_halt5,circuit_breaker,high_congestion,linear_share,30,10000,10,5,8,0.8,5,0.0,False,7.395392047829132,0.02554877322499868,0.009142511082451649,0.7395392047829131,0.0025548773224998555,0.0009142511082451603,2.6426786687696078,0.016848010603642227,0.0060289831650447035,35030.066666666666,498.5284506344187,178.39611494077354,3.5030066666666664,0.04985284506344189,0.01783961149407736,0.7,2.6671694928234833,0.9544343453272363,0.06666666666666667,0.2537081317024624,0.09078828894720775,0.08858437494439816,0.02078170960630328,0.007436639274797486,0.0,0.0,0.0,4.9999666666666664,0.0001268540658511609,4.539414447357871e-05,high_congestion_linear_share_baseline,0.9999665000458167
high_congestion_linear_share_cb_transparent_ratio08_halt5,circuit_breaker,high_congestion,linear_share,30,10000,10,5,8,0.8,5,0.0,True,7.396565308523574,0.0243083554367921,0.00869863327760846,0.7396565308523573,0.0024308355436791994,0.0008698633277608422,2.6426026264897855,0.01809436249242164,0.006474984460506159,35019.666666666664,493.7462934532781,176.68484197116481,3.5019666666666667,0.049374629345327825,0.017668484197116488,0.0,0.0,0.0,0.06666666666666667,0.2537081317024624,0.09078828894720775,0.08845747360801086,0.020857474351991416,0.007463751340845149,0.0,0.0,0.0,4.9999666666666664,0.0001268540658511609,4.539414447357871e-05,high_congestion_linear_share_baseline,1.000125142262845
high_congestion_zero_on_collision_baseline,baseline,high_congestion,zero_on_collision,30,10000,10,5,,,,,,2.6527149356240676,0.26495781738335256,0.0948139372672218,0.26527149356240676,0.02649578173833525,0.009481393726722177,2.097952919561758,0.12177612080118327,0.043577025174477674,32301.433333333334,1210.6051403108804,433.2094858055842,3.2301433333333334,0.12106051403108799,0.043320948580558405,0.0,0.0,0.0,0.0,0.0,0.0,0.5627907615713288,0.043430453523503,0.015541388197301513,0.0,0.0,0.0,5.0,0.0,0.0,high_congestion_zero_on_collision_baseline,1.0
high_congestion_zero_on_collision_cb_opaque_ratio06_halt3,circuit_breaker,high_congestion,zero_on_collision,30,10000,10,5,6,0.6,3,0.0,False,2.5997733732794632,0.2921941599696707,0.10456033728995227,0.25997733732794637,0.029219415996967067,0.010456033728995227,2.062148393862409,0.14704990861803968,0.05262113399239346,32448.8,1319.7140599387428,472.2536112556472,3.24488,0.1319714059938743,0.047225361125564726,428.5,361.72610613842755,129.44202467407612,73.0,47.8654724020965,17.128439320709237,0.5556140152768673,0.048266323347281676,0.017271881989227692,0.0,0.0,0.0,4.9780999999999995,0.014359641720628915,0.005138531796212759,high_congestion_zero_on_collision_baseline,0.9800424984857451
high_congestion_zero_on_collision_cb_transparent_ratio06_halt3,circuit_breaker,high_congestion,zero_on_collision,30,10000,10,5,6,0.6,3,0.0,True,2.6331299396357384,0.2507278154507296,0.08972179647335318,0.2633129939635738,0.025072781545072958,0.008972179647335318,2.0925778981839542,0.15247287612745875,0.05456171799296406,32139.566666666666,1286.04938188379,460.206860928574,3.213956666666667,0.128604938188379,0.0460206860928574,0.0,0.0,0.0,109.96666666666667,78.61055616283276,28.13042624736137,0.5676333424970689,0.042681281185299284,0.015273300319094045,0.0,0.0,0.0,4.967013333333333,0.02358018942530641,0.008438062416876932,high_congestion_zero_on_collision_baseline,0.9926169993898263
high_congestion_zero_on_collision_cb_opaque_ratio06_halt5,circuit_breaker,high_congestion,zero_on_collision,30,10000,10,5,6,0.6,5,0.0,False,2.6131487450199975,0.26397080706852416,0.09446074016212622,0.2613148745019998,0.02639708070685242,0.009446074016212624,2.0620656053676707,0.15082047978651208,0.05397041555637874,32414.366666666665,1185.373052972204,424.18029931213965,3.2414366666666665,0.11853730529722042,0.04241802993121397,892.0333333333333,621.8724496857542,222.5341981414709,74.5,41.65105454640478,14.904638451043413,0.5610606094687225,0.04627858784672661,0.016560579975515907,0.0,0.0,0.0,4.96275,0.020825527273202384,0.007452319225521705,high_congestion_zero_on_collision_baseline,0.9850846428793671
high_congestion_zero_on_collision_cb_transparent_ratio06_halt5,circuit_breaker,high_congestion,zero_on_collision,30,10000,10,5,6,0.6,5,0.0,True,0.24635070093753822,0.6956788145103349,0.24894546659736494,0.024635070093753823,0.0695678814510335,0.0248945466597365,0.34817370420944554,0.6031161878735488,0.21582235605131272,12406.033333333333,6787.983385890572,2429.048658676073,1.2406033333333333,0.6787983385890572,0.24290486586760732,0.0,0.0,0.0,8969.066666666668,2901.848744048065,1038.4132368476646,0.5609371883597618,0.11101004745943685,0.03972443530745838,0.0,0.0,0.0,0.5164000000000001,1.4507124432855218,0.5191307806987306,high_congestion_zero_on_collision_baseline,0.09286738564676672
high_congestion_zero_on_collision_cb_opaque_ratio08_halt3,circuit_breaker,high_congestion,zero_on_collision,30,10000,10,5,8,0.8,3,0.0,False,2.659205295608023,0.27366426041716235,0.09792949789411934,0.2659205295608023,0.027366426041716234,0.009792949789411932,2.097668128570621,0.12125568374930483,0.043390789167268476,32264.533333333333,1261.7864657133834,451.52448788361346,3.226453333333333,0.1261786465713383,0.045152448788361325,0.23333333333333334,1.2780193008453875,0.45733333333333326,0.03333333333333333,0.18257418583505536,0.06533333333333333,0.5626036439565762,0.043211196683999746,0.015462928144937807,0.0,0.0,0.0,4.9999899999999995,5.477225575055112e-05,1.960000000001235e-05,high_congestion_zero_on_collision_baseline,1.002446685807357
high_congestion_zero_on_collision_cb_transparent_ratio08_halt3,circuit_breaker,high_congestion,zero_on_collision,30,10000,10,5,8,0.8,3,0.0,True,2.639139777809918,0.26185102218937123,0.09370218488515088,0.26391397778099185,0.02618510221893712,0.009370218488515087,2.089384974868467,0.11468772619727659,0.041040475742053384,32361.933333333334,1197.862519695793,428.64959758054323,3.2361933333333335,0.11978625196957925,0.04286495975805431,0.0,0.0,0.0,0.03333333333333333,0.18257418583505536,0.06533333333333333,0.5598000289700406,0.04282664480808937,0.015325318023452673,0.0,0.0,0.0,4.9999899999999995,5.477225575055112e-05,1.960000000001235e-05,high_congestion_zero_on_collision_baseline,0.9948825417945047
high_congestion_zero_on_collision_cb_opaque_ratio08_halt5,circuit_breaker,high_congestion,zero_on_collision,30,10000,10,5,8,0.8,5,0.0,False,2.6592339679575008,0.2737123518462286,0.09794670719099387,0.26592339679575006,0.02737123518462286,0.009794670719099386,2.097668269702116,0.12125593724153662,0.04339087987829863,32264.5,1261.8463961933746,451.54593373045196,3.22645,0.12618463961933743,0.04515459337304519,0.5666666666666667,3.1037611591959413,1.1106666666666667,0.03333333333333333,0.18257418583505536,0.06533333333333333,0.5626044850768133,0.043212130376002855,0.015463262262330094,0.0,0.0,0.0,4.999983333333334,9.128709291747709e-05,3.266666666664856e-05,high_congestion_zero_on_collision_baseline,1.0024574944883398
high_congestion_zero_on_collision_cb_transparent_ratio08_halt5,circuit_breaker,high_congestion,zero_on_collision,30,10000,10,5,8,0.8,5,0.0,True,2.6382371776816793,0.26239124363725996,0.09389550064754795,0.26382371776816793,0.02623912436372599,0.009389550064754794,2.0910016680404864,0.11459671628678536,0.0410079082638441,32359.7,1196.7053377992602,428.2355053570031,3.23597,0.11967053377992597,0.04282355053570029,0.0,0.0,0.0,0.03333333333333333,0.18257418583505536,0.06533333333333333,0.5597712918322848,0.04285118649096568,0.015334100151882196,0.0,0.0,0.0,4.999983333333334,9.128709291747709e-05,3.266666666664856e-05,high_congestion_zero_on_collision_baseline,0.9945422865653741
